用户,用户ID,评论内容,点赞数,评论时间,IP属地
吟听旧曲篇-,8186312127,许愿像轻松熊一样轻松⌯>ᴗ<⌯ಣ,0,2025-05-13 13:38:30.056,天津
阳光味儿的冰淇淋,3315811737,最喜欢的一首小甜歌,1,2025-05-13 02:35:02.053,辽宁
小麻将小麻将,508190036,他一直六七月最有钱,1,2025-05-12 17:36:41.019,广西
噜噜秋刀鱼-,2122467110,爱泷泷,0,2025-05-12 16:10:54.405,山东
萧婉青,1712425398,豪庭,0,2025-05-12 15:26:36.413,江西
a_臭小孩,9063111158,包真的[强],1,2025-05-12 00:56:05.277,辽宁
借我一个抱枕,1951031882,"你有点怪哎
怪可爱的",0,2025-05-11 23:55:37.932,山东
-prokaryote-,5084518919,能写出这歌的一看就是个选文的[大哭],1,2025-05-11 15:30:28.961,浙江
窝萌允,6360730253,那些年许嵩天天失恋，徐良天天分手，汪苏泷天天恋爱,1,2025-05-10 18:45:38.391,广西
若西吖,564935347,包的,0,2025-05-10 15:54:21.169,江西
Cherrance,8572456311,高考完啦吧 最近的生活怎么样？开不开心？你好不好？,0,2025-05-10 13:42:37.885,广东
小-囍h,259539375,"对的对的
",0,2025-05-10 12:26:51.168,上海
迷糊點吧_,4006213324,还有没有其他甜甜的歌推荐[多多大笑][多多大笑],0,2025-05-10 06:02:31.281,云南
冬逢繁似锦,12592063496,这个喷不了我就是这样的,0,2025-05-10 01:38:09.207,四川
喜欢你_xuan,8628658354,最喜欢jj的背对背拥抱！,0,2025-05-09 16:37:03.486,湖北
喜欢你_xuan,8628658354,你一定要天天开心 好嘛,1,2025-05-09 16:35:45.808,湖北
想找你的影子_,3978899859,笑死我了,0,2025-05-09 11:49:01.624,河南
沾沾不自喜,511185213,多听甜歌，期待甜甜的恋爱。,1,2025-05-09 07:25:45.705,江西
Az-_-5,1350659007,都给老子好好的，别被爱情折磨的遍体鳞伤，有空来广州找老子喝酒，老子请你们吃麻辣烫，别人不爱你我爱你，我不允许你伤害自己听清楚了吗，男女都来！,0,2025-05-09 07:09:45.010,广东
甜萝乖猫小梨,12634118302,听的感同身受,1,2025-05-08 23:03:19.748,安徽
ieeeee嘿,1461990154,甜甜的歌与甜甜的哥,0,2025-05-08 16:04:00.369,山东
河北小L,7914019521,25 年了还有人吗,0,2025-05-08 10:27:14.220,河北
手握星辰世间这般人,1441168171,我也在戒断！好难过[流泪],0,2025-05-08 09:31:26.515,浙江
定格晚霞,1606439434,坐在麦当劳里听到泷泷了,2,2025-05-08 07:08:53.081,上海
_花辞树Y,1835158511,好真实，总觉得初恋的本子有万有引力[流泪],0,2025-05-07 16:28:32.134,浙江
呆呆小冻梨,9005397611,幸福就像巧克力 我这种狗一吃就死了,0,2025-05-07 12:43:59.681,陕西
该叫你什么好呢,123816047,为什么年轻的时候没听汪苏泷，人到中年反而喜欢了？是因为在人生路上吃了太多苦，所以想吃口甜的吗？[大哭],0,2025-05-07 12:34:00.509,山东
窗边发呆的喵儿,135412192,哈哈哈哈哈哈哈,0,2025-05-07 11:18:54.897,广东
相对你说晚安,1441175636,想起了我的初三的那个下午[多多大哭],0,2025-05-07 10:58:56.098,浙江
月半奶浓猫,9432204171,其实我介意的事情很多 我没说我只想和你走.,0,2025-05-06 21:28:51.335,山东
桑野川泽,1460230373,打卡,0,2025-05-06 19:24:32.629,海南
sealtion,1353810908,喜欢听,0,2025-05-06 17:15:09.384,广东
Spashhhh,1488998381,看过一次现场之后一直在哭…每天都在戒断……,0,2025-05-06 16:15:23.769,江苏
SOBER030,1474995603,想起我初中那个下午,0,2025-05-06 09:37:51.614,上海
岚苍均王,1441159716,不是哦！你还有爸爸和妈妈[多多大笑],0,2025-05-06 08:34:55.803,浙江
白水般的平淡,6271951434,这首歌让我想起了之前yq的时候在家和网友一起吃鸡的日子了[流泪]呜呜呜触歌伤情了,0,2025-05-06 01:26:04.534,浙江
热爱消失了吗,395418923,是谁啊，天天被哥哥迷得五迷三道的[色],0,2025-05-05 10:12:35.689,广东
鑫想哼,8634214418,打卡,0,2025-05-05 07:43:35.240,陕西
Romanticccccccccc-,2025308671,哥哥我们武汉见！[多多调皮][多多调皮],1,2025-05-05 02:59:24.202,河北
折泪素島,4997690620,打卡,0,2025-05-05 01:18:24.925,天津
_我就一个恒,1853381543,打卡,1,2025-05-05 00:02:10.263,山东
不再难眠且有钱,420588377,哥哥你是妈妈唯一的老公,0,2025-05-04 23:01:22.045,安徽
1晚风吹动心绪,1772327505,"打卡
",1,2025-05-04 20:46:52.084,河北
karma_-k,13390070839,我已经不相信一些东西了,0,2025-05-04 11:55:25.467,安徽
白斯_深华主旨,12945936038,好好听(*^ω^*),0,2025-05-04 10:41:54.704,四川
是清欢哇,9400129544,找到爱情了吗🔍(・ω・),0,2025-05-04 09:28:46.980,江苏
飞行奶牛_0414,4892608712,那时候听到ta的名字都会高兴好久,2,2025-05-04 04:33:23.347,上海
karma_-k,13390070839,小学喜欢的男生和我之间的一个小秘密，只要听见这首歌，就会想起对方。,1,2025-05-04 04:18:55.980,安徽
在雨后一,12772058072,好像已经十一年了吧,4,2025-05-04 03:35:37.134,安徽
Q--是不是你爱的她,410502319,这怎么没有卡点枪啊哈哈哈哈哈哈,2,2025-05-04 03:16:55.360,江苏
X1a0xt,1294928066,1,0,2025-05-04 02:10:27.691,辽宁
素龙有点甜,266520983,好听,0,2025-05-04 01:21:43.710,河北
G_universe,3963957546,[大笑]666,0,2025-05-03 09:28:18.355,广东
